Title,Body,Views,Being,Becoming,postid
Dan's #WalkAway,"I have been a registered conservative since I was 18. I don't like radical ideologues of any variety. The scales are tipped heavily, and nearly exclusively left. The hatred and hypocrisy coming from those who do not value diversity of thought is all a bullying tactic to intimidate and silence people. I'm tired of regressive leftists and entrenched republicans. What is more likely? That half the population's citizens are Nazis and racists, or support Nazis and racists and that Trump is playing a deep game that involves working with Russians to gain the presidency, or that establishment politicians are afraid of losing power and have been working with the mainstream media to frame Donald Trump while casting anyone that walks away (or that has never walked with them in the first place) as villains? We saw much the same when the Tea Party rose in opposition to establishment republicans and democrats and they were treated the same way. The establishment hates Trump and they hate those of us who support him, love America and recognize its exceptionalism- the likes of which the world had never previously seen; and they hate anyone that doesn't agree to be ""different"" like they are. This movement brings me hope. #WalkAway ps - I am not a Russian bot. I'm proud to be a citizen of the greatest nation that has ever graced God's earth. *** A little edit/addition to show that conservatives don't fall neatly into the stereotype that the media tries to place us in. I've been a stay-at-home dad (diapers, shopping, housecleaning, laundry, dishes etc.) since my first son's birth in addition to also working part-time jobs as a waiter, graphic designer, filmmaker, online fitness coach and more while my wife (the breadwinner) built an amazing career (not held back by her gender) over the last 20+ years. We both grew up in very poor households (I lived with my father- a disabled vet- who earned less than $800 in disability monthly and my wife lived with her disabled mother who received less than $700 monthly). Both of our parents were democrats. Neither me nor my wife demanded anything from anyone. We have always believed that you get what you earn and earn what you get. We paid our way through school, and built the life we have. We are grateful for the opportunities we have been given- opportunities afforded to us by living in the greatest nation ever.","1,262 views",1,0,11
Eva's #WalkAway,"I finally decided to post after following this movement for awhile now. Can I just say that every story I read fills me with such hope, inspiration, joy and just pure thankfulness to be an American. I know that may sound cheesy but after this last election I really wondered if all was lost. I watched Brandon’s video and it echoed everything that I felt about the Democratic party. I have friends who are Democrats, Libertarians, Socialists, Republicans, atheists and Christian. I am a Christian and a Republican. I haven’t always been. I was once an independent but there are a few keys issues that keep me voting Republican. I voted for Trump and for most of 2016 up until recently I felt bullied, alienated and silenced. It was like my vote didn’t matter and people seemed to stereotype me because of my support of President Trump. I felt like the ability to have an open exchange of ideas and opinions wasn’t allowed anymore. I respect and honor everyone’s voice. Just because we don’t agree doesn’t mean we can’t hear each other, discuss our differences, and consider each other’s view points!! Everyone’s voice matters because it is US who make up this country because afterall we are in fact the U.S. I wholeheartedly believe that United We Stand! Even when our opinions differ we can still stand together united as a people seeking the common goal of peace & prosperity. Reading all the stories from people of all walks of life has been just plain awesome!! It is our humanity that unites us. It doesn’t matter what our political affiliation is or our sexual orientation or what our religious beliefs are and especially not our race - we are ALL human and have a voice and we should give each other the respect of hearing each other and working together for the common good. We are stronger together!  #walkaway and walk hand in hand. ","1,658 views",1,0,12
Justin's #WalkAway,"I was raised in a conservative family. I was married for eight years. I have three beautiful daughters. Divorced in 2012, and finally came out to friends and family. Since then, I’ve had to struggle with posting my political beliefs and opinions on social media. The gay community isn’t an accepting community. It’s their way, or no way. You just follow this gay agenda, or be bashed and humiliated. I voted for Trump in 2016. And I lost over 100 friends on facebook, some even close friends that I never would have expected to stop talking to me. Just because I voted for Trump. Just because I’m gay, doesn’t mean I have to be an extreme liberal. I still go to church. I still have faith in God. I still hold strong to conservative values. This new #WalkAway campaign is such a great thing. Inspiring so many people, who were afraid before, to speak up. So even though I’m already a Trump supporter, I’m gonna #WalkAway from the gay community, and be the proud conservative that I am. #WalkAway #notafraid","1,699 views",1,0,13
Melanie's #WalkAway,"There are men and women merrily masquerading as martyrs for the cause. Sinister sentiments incessantly spewing and twitching out of their mouths like a crack addict in withdrawal, while the conclusions they draw are merely illusions that fall and crumble under reason. Flip-flopping facts and fiction, changing their moral beliefs with the seasons. But one cannot create balance in the world if the path they walk is uneven, so we must decide if we are really willing to die for what we believe in. But not every belief is true. And pointing the finger at others leaves 3 pointed back at you. I know because I lived a life of self-inflicted strife while convincing myself that I was alright. My downfall was being open-minded. I was striving for acceptance, losing myself to find it. All it left me was blinded to truth, leaving it open for others to define it. Friends, we must pray for discernment, both for ourselves and for those we feel don't really deserve it. Because, when all is said and done, the Son of the most High will reveal every lie and all the answers we need to be victorious. Watching the walls of hate disintegrate under the weight of arrogance will be glorious. Don't be afraid to drop truth bombs and cover people in the shrapnel of their own hipocracy. Go ahead and let the bullets of faith hit the face of the enemy. Don't hesitate because He saved us not for our works but for His purpose and grace; to be able to look the devil in the face and remind him that he has no place in this arms race. May we start to think for ourselves and not be shells of the people God wants us to be. May we speak from our minds and not imitate the lines we are force-fed from the TV screens, and let us love one another, whether they be our foe or our brother. Let's learn to cherish, forgive, and accept each other so that when the devil comes and asks, ""Which will be your path?"" You can have peace in the debris of the aftermath of his earthly reign, because you have a name, in Christ Jesus. The same man who stepped down from His throne to be us and He's the only One I know who can free us from the prison of our own minds because of how He sees us. We are made in His image so there's no need to scrimage over who's better than whom cuz from the moment you set foot in your mother's womb, He gave you a purpose. Even if you feel like you're less than or not worth it. And I tell you all this with no condescension. My only intention was to mention my story; to allow others a moment for self-reflection and give God the glory. At the end of the day, I am blessed to say that I'm one of the many who decided to #WalkAway. (Original work. All rights reserved. Subject to copyright for commercial use. Photo credit to my wonderful husband.)","1,493 views",0,1,14
Charles' #WalkAway,"I am not a Russian Bot. I've never really fit into a box regarding politics. However, after the changes and tribal messaging from the DNC, MSM, and extreme factions from some politicians I cannot stay connected to this part of the political spectrum. So, I'm not directly affiliated anymore. I believe that the discourse and street tactics of the Democratic Party is causing it to lose course. I read a CNN article that stated that the WalkAway Campaign is being infiltrated by Russian Bots. This is definitely fake news. I don't enjoy posting a picture with may name and a sign to prove that I'm not a Bot....but the times we live in are strange. It's like a mix of 1984 and Fahrenheit 451.",643 views,0,0,15
Nina's #WalkAway,"I am a lifelong liberal who not only voted for Obama twice, I campaigned for him, donated money, and proudly attended his first inauguration. My#WalkAway moment came when Bibi Netanyahu spoke to Congress about the grave threat Iran poses to Israel, and Nancy Pelosi completely freaked out. As an observant Jew whose mother-in-law is a Holocaust survivor, I am terrified by Iran’s continual threats to destroy Israel. Bibi wanted to prevent the second genocide of our people within 100 years, and Nancy Pelosi tried to shut him down because saving Jews doesn’t fit her own political agenda. The Iran deal was a line in the sand for me. What’s annoying is that 80% of the Jewish community are knee-jerk leftists whose religion is progressivism not Judaism. Ironically I’ve been smeared by non-religious relatives as not having Jewish values, even though I live my life by authentic Jewish values and they have no idea what those values even are. I’m sick of keeping silent in front of friends and family who assume that because we share a group identity, we also share an emotion-based progressivist ideology.","2,673 views",0,1,16
Bab's #WalkAway,"I am loving these stories and mine starts kind of recent. I was born in Virginia and moved to North Carolina for college. I wasn't raised in the hood and never lived in the ghetto. I come from a middle class family. My parents were Democrats but when they talked politics they always sounded Conservative. Except when it came to race. We were all excited about Obama. Gonna get a Brother in the WhiteHouse. It was a big deal. I was told every day of my life that I was gonna get judged cuz I was Black. Cops would harass me cuz I was Black...we all know the drill. But, when I think back I never really ran into racism. My friends have always been diverse. Race was not an issue except during election time. I did get that White thing where they just want to ""raise me up because of slavery and Jim Crow and racism"". What did they not get about we all growing up in the same neighborhood? All went to the same nice school? So, my story starts with me talking with my friend Rae about going shopping. Told her I wasn't sure I wanted to go alone because whenever I go without my boyfriend, who is White, people look at me. Like I'm trying to do something. Can't walk into a store without getting noticed. She said ""Girl maybe they looking at you because you're hot"". She asked me if I thought every other race walked around with this ""everybody judging me cuz of my race"" chip? She said she never thought about being Cherokee or looking White. Never thought about that before. I just bought into the whole identity politics B-line. So I started to check my attitude and an amazing thing happened: I stopped feeling uncomfortable being alone in public. Stopped giving cops grief if I got pulled (I got a baddass car and girl likes to go fast) and guess who got less attitude and fewer tickets. I walked away because I want to be judged by the ""content of my character"" and Democrats can't seem to do that. I didn't vote for Trump the first time but MAGA 2020 -","2,704 views",0,1,17
Rachel's #WalkAway,"I saw people were doing introductions so I thought I would do one too. My name is Rachel and I’m a Russian bot. I speak Russian, Hebrew and English and am very good at programming and I love math. Me and my lovely little immigrant family of Russian bots (who legally came to America so me and my siblings could live better lives) all influenced the 2016 election and helped Trump win. Except, as exciting as it might sound, we didn’t influence it by hacking anything. We simply registered to vote like the legal citizens we are, and voted for trump. We continue to use our botting abilities in legal ways which include developing software that helps disabled people have better and more organized lives, and working for and creating contracting companies that continue to improve infrastructure along the East Coast. God bless America! ","1,351 views",NA,NA,18
Matthew's #WalkAway,"Greetings everyone, Retired USAF (1994-2014), Former poor white trash, musician, grease monkey, wrench-turner.... turned executive-level Training & Development professional. Global travel enthusiast, devout volunteer for child welfare, animal rights, and military veteran causes. Not a Russian Bot. Registered Democrat, although I've always been a bit ""right-leaning"" when it comes to economic issues, and ""left-leaning"" when it comes to social issues. Nothing has changed, except the lying, manipulative, antisocial, judgemental, and quite frankly ""violent"" organization that the Democratic/Liberal party has somehow perversely morphed itself into. I'm still not ready to embrace ""full-blown"" Republicanism... not sure I ever will be. But what I absolutely cannot tolerate, is the blame, finger-pointing, lies, manipulation, and back-handed guilt-shaming by the Liberal agenda. I'm tired of being called a racist and a Nazi for being successful, and made to feel as if I'm underserving of what I've earned in life. I've been saying since the 2016 election EXACTLY what Brandon said so eloquently in the video we've all undoubtedly watched many times. It just makes too much sense to ignore. For those reasons and many more.... I've chosen to#Walkaway",938 views,1,0,19
Justin's #WalkAway,"I have been reading all your stories in this group and I must say I'm very inspired by them! I'm happy to be part of such a wonderful movement. I jumped off the Bernie Bus in 2015 and hopped aboard the Trump Train and never looked back. With all the hateful rhetoric coming from the left, the ones who preach ""tolerance"" are only tolerant if you think the way they do. We need to go back to agreeing to disagree without violence and hate. We are all human, and we welcome everyone of all backgrounds here on the right! We are not the monsters that the left tries to paint us as. God bless the great #Walkawaycampaign and a huge thanks to Brandon Straka for taking a stand! Let's keep this growing more and more! #NotABot #WalkAway",662 views,0,1,20
Matthew's #WalkAway,"Just #WalkAway My turn to share. Since this movement is getting stronger and bigger the insane liberal left is getting increasingly radical. I’ve been called all sorts of names such as racist, bigot, Russian bot, xenophobic, homophobic, and so on. You all get the point. I’m actually the opposite. I’m a proud gay American sailor serving our country. My mother is a immigrant. I’m half white. I grew up with my parents voting democrat. I’m assuming promises and free handouts? It’s been rather more difficult coming out as a conservative than gay. I’ve been attacked verbally for the past few years by the left for voicing my opinions and policies I support. I’ve lost friends over my support for Trump and at this point I don’t care. My friends on the right never attack me for who I am or what I support. It’s much easier to have a conversation with independents and republicans. I chose to #WalkAway and stay away 2016 & I refused to be brainwashed. I encourage all of you to spread this movement. Get more people to post testimonials. The mainstream media has been pushing false narratives for a while already and it’s mind boggling that people that are stuck getting drained with that swamp can’t catch on. Brandon Straka & I share the same beliefs. When I watched the video I said to myself, “That’s how I feel!” I fell in love with the movement. Pay attention to the liberal meltdown of lies. #RedPill let’s make this movement grow. Before elections, share share share.",988 views,0,1,21
