,verbs,tense,postid
261,lose,VB,8wvl7y
262,prepare,VB,8wvl7y
263,happens,VBZ,8wvl7y
264,learned,VBD,8wvx68
265,reflects,VBZ,8wvx68
266,having,VBG,8wvx68
267,leaned,VBD,8wvx68
268,written,VBN,8wvx68
269,know,VBP,8wvx68
270,stand,VBP,8wvx68
271,thought,VBD,8wvx68
272,disconnecting,VBG,8wvx68
273,seen,VBN,8wvx68
274,become,VBN,8wvx68
275,happening,VBG,8wvx68
276,felt,VBN,8wvx68
277,trying,VBG,8wvx68
278,undo,VB,8wvx68
279,read,VBN,8wvx68
280,wondering,VBG,8wvx68
281,stood,VBN,8wvx68
282,handle,VB,8wvx68
283,prepare,VB,8wvx68
284,talk,VBP,8wvx68
285,lose,VB,8wvx68
286,prepare,VB,8wvx68
287,happens,VBZ,8wvx68
288,learned,VBD,8ww8vt
289,reflects,VBZ,8ww8vt
290,having,VBG,8ww8vt
291,leaned,VBD,8ww8vt
292,written,VBN,8ww8vt
293,know,VBP,8ww8vt
294,stand,VBP,8ww8vt
295,thought,VBD,8ww8vt
296,disconnecting,VBG,8ww8vt
297,seen,VBN,8ww8vt
298,become,VBN,8ww8vt
299,happening,VBG,8ww8vt
300,felt,VBN,8ww8vt
301,trying,VBG,8ww8vt
302,undo,VB,8ww8vt
303,read,VBN,8ww8vt
304,wondering,VBG,8ww8vt
305,stood,VBN,8ww8vt
306,handle,VB,8ww8vt
307,prepare,VB,8ww8vt
308,talk,VBP,8ww8vt
309,lose,VB,8ww8vt
310,prepare,VB,8ww8vt
311,happens,VBZ,8ww8vt
312,learned,VBD,8wwgjk
313,reflects,VBZ,8wwgjk
314,having,VBG,8wwgjk
315,leaned,VBD,8wwgjk
316,written,VBN,8wwgjk
317,know,VBP,8wwgjk
318,stand,VBP,8wwgjk
319,thought,VBD,8wwgjk
320,disconnecting,VBG,8wwgjk
321,seen,VBN,8wwgjk
322,become,VBN,8wwgjk
323,happening,VBG,8wwgjk
324,felt,VBN,8wwgjk
325,trying,VBG,8wwgjk
326,undo,VB,8wwgjk
327,read,VBN,8wwgjk
328,wondering,VBG,8wwgjk
329,stood,VBN,8wwgjk
330,handle,VB,8wwgjk
331,prepare,VB,8wwgjk
332,talk,VBP,8wwgjk
333,lose,VB,8wwgjk
334,prepare,VB,8wwgjk
335,happens,VBZ,8wwgjk
336,learned,VBD,8wx2es
337,reflects,VBZ,8wx2es
338,having,VBG,8wx2es
339,leaned,VBD,8wx2es
340,written,VBN,8wx2es
341,know,VBP,8wx2es
342,stand,VBP,8wx2es
343,thought,VBD,8wx2es
344,disconnecting,VBG,8wx2es
345,seen,VBN,8wx2es
346,become,VBN,8wx2es
347,happening,VBG,8wx2es
348,felt,VBN,8wx2es
349,trying,VBG,8wx2es
350,undo,VB,8wx2es
351,read,VBN,8wx2es
352,wondering,VBG,8wx2es
353,stood,VBN,8wx2es
354,handle,VB,8wx2es
355,prepare,VB,8wx2es
356,talk,VBP,8wx2es
357,lose,VB,8wx2es
358,prepare,VB,8wx2es
359,happens,VBZ,8wx2es
360,learned,VBD,8wxsm3
361,reflects,VBZ,8wxsm3
362,having,VBG,8wxsm3
363,leaned,VBD,8wxsm3
364,written,VBN,8wxsm3
365,know,VBP,8wxsm3
366,stand,VBP,8wxsm3
367,thought,VBD,8wxsm3
368,disconnecting,VBG,8wxsm3
369,seen,VBN,8wxsm3
370,become,VBN,8wxsm3
371,happening,VBG,8wxsm3
372,felt,VBN,8wxsm3
373,trying,VBG,8wxsm3
374,undo,VB,8wxsm3
375,read,VBN,8wxsm3
376,wondering,VBG,8wxsm3
377,stood,VBN,8wxsm3
378,handle,VB,8wxsm3
379,prepare,VB,8wxsm3
380,talk,VBP,8wxsm3
381,lose,VB,8wxsm3
382,prepare,VB,8wxsm3
383,happens,VBZ,8wxsm3
384,learned,VBD,8wyya6
385,reflects,VBZ,8wyya6
386,having,VBG,8wyya6
387,leaned,VBD,8wyya6
388,written,VBN,8wyya6
389,know,VBP,8wyya6
390,stand,VBP,8wyya6
391,thought,VBD,8wyya6
392,disconnecting,VBG,8wyya6
393,seen,VBN,8wyya6
394,become,VBN,8wyya6
395,happening,VBG,8wyya6
396,felt,VBN,8wyya6
397,trying,VBG,8wyya6
398,undo,VB,8wyya6
399,read,VBN,8wyya6
400,wondering,VBG,8wyya6
401,stood,VBN,8wyya6
402,handle,VB,8wyya6
403,prepare,VB,8wyya6
404,talk,VBP,8wyya6
405,lose,VB,8wyya6
406,prepare,VB,8wyya6
407,happens,VBZ,8wyya6
408,learned,VBD,8wz18p
409,reflects,VBZ,8wz18p
410,having,VBG,8wz18p
411,leaned,VBD,8wz18p
412,written,VBN,8wz18p
413,know,VBP,8wz18p
414,stand,VBP,8wz18p
415,thought,VBD,8wz18p
416,disconnecting,VBG,8wz18p
417,seen,VBN,8wz18p
418,become,VBN,8wz18p
419,happening,VBG,8wz18p
420,felt,VBN,8wz18p
421,trying,VBG,8wz18p
422,undo,VB,8wz18p
423,read,VBN,8wz18p
424,wondering,VBG,8wz18p
425,stood,VBN,8wz18p
426,handle,VB,8wz18p
427,prepare,VB,8wz18p
428,talk,VBP,8wz18p
429,lose,VB,8wz18p
430,prepare,VB,8wz18p
431,happens,VBZ,8wz18p
432,learned,VBD,8x3hy2
433,reflects,VBZ,8x3hy2
434,having,VBG,8x3hy2
435,leaned,VBD,8x3hy2
436,written,VBN,8x3hy2
437,know,VBP,8x3hy2
438,stand,VBP,8x3hy2
439,thought,VBD,8x3hy2
440,disconnecting,VBG,8x3hy2
441,seen,VBN,8x3hy2
442,become,VBN,8x3hy2
443,happening,VBG,8x3hy2
444,felt,VBN,8x3hy2
445,trying,VBG,8x3hy2
446,undo,VB,8x3hy2
447,read,VBN,8x3hy2
448,wondering,VBG,8x3hy2
449,stood,VBN,8x3hy2
450,handle,VB,8x3hy2
451,prepare,VB,8x3hy2
452,talk,VBP,8x3hy2
453,lose,VB,8x3hy2
454,prepare,VB,8x3hy2
455,happens,VBZ,8x3hy2
456,learned,VBD,8x5s3l
457,reflects,VBZ,8x5s3l
458,having,VBG,8x5s3l
459,leaned,VBD,8x5s3l
460,written,VBN,8x5s3l
461,know,VBP,8x5s3l
462,stand,VBP,8x5s3l
463,thought,VBD,8x5s3l
464,disconnecting,VBG,8x5s3l
465,seen,VBN,8x5s3l
466,become,VBN,8x5s3l
467,happening,VBG,8x5s3l
468,felt,VBN,8x5s3l
469,trying,VBG,8x5s3l
470,undo,VB,8x5s3l
471,read,VBN,8x5s3l
472,wondering,VBG,8x5s3l
473,stood,VBN,8x5s3l
474,handle,VB,8x5s3l
475,prepare,VB,8x5s3l
476,talk,VBP,8x5s3l
477,lose,VB,8x5s3l
478,prepare,VB,8x5s3l
479,happens,VBZ,8x5s3l
480,learned,VBD,8x7ys1
481,reflects,VBZ,8x7ys1
482,having,VBG,8x7ys1
483,leaned,VBD,8x7ys1
484,written,VBN,8x7ys1
485,know,VBP,8x7ys1
486,stand,VBP,8x7ys1
487,thought,VBD,8x7ys1
488,disconnecting,VBG,8x7ys1
489,seen,VBN,8x7ys1
490,become,VBN,8x7ys1
491,happening,VBG,8x7ys1
492,felt,VBN,8x7ys1
493,trying,VBG,8x7ys1
494,undo,VB,8x7ys1
495,read,VBN,8x7ys1
496,wondering,VBG,8x7ys1
497,stood,VBN,8x7ys1
498,handle,VB,8x7ys1
499,prepare,VB,8x7ys1
500,talk,VBP,8x7ys1
501,lose,VB,8x7ys1
502,prepare,VB,8x7ys1
503,happens,VBZ,8x7ys1
504,learned,VBD,8xb5i5
505,reflects,VBZ,8xb5i5
506,having,VBG,8xb5i5
507,leaned,VBD,8xb5i5
508,written,VBN,8xb5i5
509,know,VBP,8xb5i5
510,stand,VBP,8xb5i5
511,thought,VBD,8xb5i5
512,disconnecting,VBG,8xb5i5
513,seen,VBN,8xb5i5
514,become,VBN,8xb5i5
515,happening,VBG,8xb5i5
516,felt,VBN,8xb5i5
517,trying,VBG,8xb5i5
518,undo,VB,8xb5i5
519,read,VBN,8xb5i5
520,wondering,VBG,8xb5i5
521,stood,VBN,8xb5i5
522,handle,VB,8xb5i5
523,prepare,VB,8xb5i5
524,talk,VBP,8xb5i5
525,lose,VB,8xb5i5
526,prepare,VB,8xb5i5
527,happens,VBZ,8xb5i5
528,learned,VBD,8xeck6
529,reflects,VBZ,8xeck6
530,having,VBG,8xeck6
531,leaned,VBD,8xeck6
532,written,VBN,8xeck6
533,know,VBP,8xeck6
534,stand,VBP,8xeck6
535,thought,VBD,8xeck6
536,disconnecting,VBG,8xeck6
537,seen,VBN,8xeck6
538,become,VBN,8xeck6
539,happening,VBG,8xeck6
540,felt,VBN,8xeck6
541,trying,VBG,8xeck6
542,undo,VB,8xeck6
543,read,VBN,8xeck6
544,wondering,VBG,8xeck6
545,stood,VBN,8xeck6
546,handle,VB,8xeck6
547,prepare,VB,8xeck6
548,talk,VBP,8xeck6
549,lose,VB,8xeck6
550,prepare,VB,8xeck6
551,happens,VBZ,8xeck6
552,learned,VBD,8xeg8b
553,reflects,VBZ,8xeg8b
554,having,VBG,8xeg8b
555,leaned,VBD,8xeg8b
556,written,VBN,8xeg8b
557,know,VBP,8xeg8b
558,stand,VBP,8xeg8b
559,thought,VBD,8xeg8b
560,disconnecting,VBG,8xeg8b
561,seen,VBN,8xeg8b
562,become,VBN,8xeg8b
563,happening,VBG,8xeg8b
564,felt,VBN,8xeg8b
565,trying,VBG,8xeg8b
566,undo,VB,8xeg8b
567,read,VBN,8xeg8b
568,wondering,VBG,8xeg8b
569,stood,VBN,8xeg8b
570,handle,VB,8xeg8b
571,prepare,VB,8xeg8b
572,talk,VBP,8xeg8b
573,lose,VB,8xeg8b
574,prepare,VB,8xeg8b
575,happens,VBZ,8xeg8b
576,learned,VBD,8xene8
577,reflects,VBZ,8xene8
578,having,VBG,8xene8
579,leaned,VBD,8xene8
580,written,VBN,8xene8
581,know,VBP,8xene8
582,stand,VBP,8xene8
583,thought,VBD,8xene8
584,disconnecting,VBG,8xene8
585,seen,VBN,8xene8
586,become,VBN,8xene8
587,happening,VBG,8xene8
588,felt,VBN,8xene8
589,trying,VBG,8xene8
590,undo,VB,8xene8
591,read,VBN,8xene8
592,wondering,VBG,8xene8
593,stood,VBN,8xene8
594,handle,VB,8xene8
595,prepare,VB,8xene8
596,talk,VBP,8xene8
597,lose,VB,8xene8
598,prepare,VB,8xene8
599,happens,VBZ,8xene8
600,learned,VBD,8xfaxz
601,reflects,VBZ,8xfaxz
602,having,VBG,8xfaxz
603,leaned,VBD,8xfaxz
604,written,VBN,8xfaxz
605,know,VBP,8xfaxz
606,stand,VBP,8xfaxz
607,thought,VBD,8xfaxz
608,disconnecting,VBG,8xfaxz
609,seen,VBN,8xfaxz
610,become,VBN,8xfaxz
611,happening,VBG,8xfaxz
612,felt,VBN,8xfaxz
613,trying,VBG,8xfaxz
614,undo,VB,8xfaxz
615,read,VBN,8xfaxz
616,wondering,VBG,8xfaxz
617,stood,VBN,8xfaxz
618,handle,VB,8xfaxz
619,prepare,VB,8xfaxz
620,talk,VBP,8xfaxz
621,lose,VB,8xfaxz
622,prepare,VB,8xfaxz
623,happens,VBZ,8xfaxz
624,learned,VBD,8xfbs4
625,reflects,VBZ,8xfbs4
626,having,VBG,8xfbs4
627,leaned,VBD,8xfbs4
628,written,VBN,8xfbs4
629,know,VBP,8xfbs4
630,stand,VBP,8xfbs4
631,thought,VBD,8xfbs4
632,disconnecting,VBG,8xfbs4
633,seen,VBN,8xfbs4
634,become,VBN,8xfbs4
635,happening,VBG,8xfbs4
636,felt,VBN,8xfbs4
637,trying,VBG,8xfbs4
638,undo,VB,8xfbs4
639,read,VBN,8xfbs4
640,wondering,VBG,8xfbs4
641,stood,VBN,8xfbs4
642,handle,VB,8xfbs4
643,prepare,VB,8xfbs4
644,talk,VBP,8xfbs4
645,lose,VB,8xfbs4
646,prepare,VB,8xfbs4
647,happens,VBZ,8xfbs4
648,learned,VBD,8xfcpl
649,reflects,VBZ,8xfcpl
650,having,VBG,8xfcpl
651,leaned,VBD,8xfcpl
652,written,VBN,8xfcpl
653,know,VBP,8xfcpl
654,stand,VBP,8xfcpl
655,thought,VBD,8xfcpl
656,disconnecting,VBG,8xfcpl
657,seen,VBN,8xfcpl
658,become,VBN,8xfcpl
659,happening,VBG,8xfcpl
660,felt,VBN,8xfcpl
661,trying,VBG,8xfcpl
662,undo,VB,8xfcpl
663,read,VBN,8xfcpl
664,wondering,VBG,8xfcpl
665,stood,VBN,8xfcpl
666,handle,VB,8xfcpl
667,prepare,VB,8xfcpl
668,talk,VBP,8xfcpl
669,lose,VB,8xfcpl
670,prepare,VB,8xfcpl
671,happens,VBZ,8xfcpl
672,learned,VBD,8xfcu8
673,reflects,VBZ,8xfcu8
674,having,VBG,8xfcu8
675,leaned,VBD,8xfcu8
676,written,VBN,8xfcu8
677,know,VBP,8xfcu8
678,stand,VBP,8xfcu8
679,thought,VBD,8xfcu8
680,disconnecting,VBG,8xfcu8
681,seen,VBN,8xfcu8
682,become,VBN,8xfcu8
683,happening,VBG,8xfcu8
684,felt,VBN,8xfcu8
685,trying,VBG,8xfcu8
686,undo,VB,8xfcu8
687,read,VBN,8xfcu8
688,wondering,VBG,8xfcu8
689,stood,VBN,8xfcu8
690,handle,VB,8xfcu8
691,prepare,VB,8xfcu8
692,talk,VBP,8xfcu8
693,lose,VB,8xfcu8
694,prepare,VB,8xfcu8
695,happens,VBZ,8xfcu8
696,learned,VBD,8xfl8s
697,reflects,VBZ,8xfl8s
698,having,VBG,8xfl8s
699,leaned,VBD,8xfl8s
700,written,VBN,8xfl8s
701,know,VBP,8xfl8s
702,stand,VBP,8xfl8s
703,thought,VBD,8xfl8s
704,disconnecting,VBG,8xfl8s
705,seen,VBN,8xfl8s
706,become,VBN,8xfl8s
707,happening,VBG,8xfl8s
708,felt,VBN,8xfl8s
709,trying,VBG,8xfl8s
710,undo,VB,8xfl8s
711,read,VBN,8xfl8s
712,wondering,VBG,8xfl8s
713,stood,VBN,8xfl8s
714,handle,VB,8xfl8s
715,prepare,VB,8xfl8s
716,talk,VBP,8xfl8s
717,lose,VB,8xfl8s
718,prepare,VB,8xfl8s
719,happens,VBZ,8xfl8s
720,learned,VBD,8xfrjv
721,reflects,VBZ,8xfrjv
722,having,VBG,8xfrjv
723,leaned,VBD,8xfrjv
724,written,VBN,8xfrjv
725,know,VBP,8xfrjv
726,stand,VBP,8xfrjv
727,thought,VBD,8xfrjv
728,disconnecting,VBG,8xfrjv
729,seen,VBN,8xfrjv
730,become,VBN,8xfrjv
731,happening,VBG,8xfrjv
732,felt,VBN,8xfrjv
733,trying,VBG,8xfrjv
734,undo,VB,8xfrjv
735,read,VBN,8xfrjv
736,wondering,VBG,8xfrjv
737,stood,VBN,8xfrjv
738,handle,VB,8xfrjv
739,prepare,VB,8xfrjv
740,talk,VBP,8xfrjv
741,lose,VB,8xfrjv
742,prepare,VB,8xfrjv
743,happens,VBZ,8xfrjv
744,learned,VBD,8xfxiz
745,reflects,VBZ,8xfxiz
746,having,VBG,8xfxiz
747,leaned,VBD,8xfxiz
748,written,VBN,8xfxiz
749,know,VBP,8xfxiz
750,stand,VBP,8xfxiz
751,thought,VBD,8xfxiz
752,disconnecting,VBG,8xfxiz
753,seen,VBN,8xfxiz
754,become,VBN,8xfxiz
755,happening,VBG,8xfxiz
756,felt,VBN,8xfxiz
757,trying,VBG,8xfxiz
758,undo,VB,8xfxiz
759,read,VBN,8xfxiz
760,wondering,VBG,8xfxiz
761,stood,VBN,8xfxiz
762,handle,VB,8xfxiz
763,prepare,VB,8xfxiz
764,talk,VBP,8xfxiz
765,lose,VB,8xfxiz
766,prepare,VB,8xfxiz
767,happens,VBZ,8xfxiz
768,learned,VBD,8xfz02
769,reflects,VBZ,8xfz02
770,having,VBG,8xfz02
771,leaned,VBD,8xfz02
772,written,VBN,8xfz02
773,know,VBP,8xfz02
774,stand,VBP,8xfz02
775,thought,VBD,8xfz02
776,disconnecting,VBG,8xfz02
777,seen,VBN,8xfz02
778,become,VBN,8xfz02
779,happening,VBG,8xfz02
780,felt,VBN,8xfz02
781,trying,VBG,8xfz02
782,undo,VB,8xfz02
783,read,VBN,8xfz02
784,wondering,VBG,8xfz02
785,stood,VBN,8xfz02
786,handle,VB,8xfz02
787,prepare,VB,8xfz02
788,talk,VBP,8xfz02
789,lose,VB,8xfz02
790,prepare,VB,8xfz02
791,happens,VBZ,8xfz02
792,learned,VBD,8xg9lo
793,reflects,VBZ,8xg9lo
794,having,VBG,8xg9lo
795,leaned,VBD,8xg9lo
796,written,VBN,8xg9lo
797,know,VBP,8xg9lo
798,stand,VBP,8xg9lo
799,thought,VBD,8xg9lo
800,disconnecting,VBG,8xg9lo
801,seen,VBN,8xg9lo
802,become,VBN,8xg9lo
803,happening,VBG,8xg9lo
804,felt,VBN,8xg9lo
805,trying,VBG,8xg9lo
806,undo,VB,8xg9lo
807,read,VBN,8xg9lo
808,wondering,VBG,8xg9lo
809,stood,VBN,8xg9lo
810,handle,VB,8xg9lo
811,prepare,VB,8xg9lo
812,talk,VBP,8xg9lo
813,lose,VB,8xg9lo
814,prepare,VB,8xg9lo
815,happens,VBZ,8xg9lo
816,learned,VBD,8xgbxu
817,reflects,VBZ,8xgbxu
818,having,VBG,8xgbxu
819,leaned,VBD,8xgbxu
820,written,VBN,8xgbxu
821,know,VBP,8xgbxu
822,stand,VBP,8xgbxu
823,thought,VBD,8xgbxu
824,disconnecting,VBG,8xgbxu
825,seen,VBN,8xgbxu
826,become,VBN,8xgbxu
827,happening,VBG,8xgbxu
828,felt,VBN,8xgbxu
829,trying,VBG,8xgbxu
830,undo,VB,8xgbxu
831,read,VBN,8xgbxu
832,wondering,VBG,8xgbxu
833,stood,VBN,8xgbxu
834,handle,VB,8xgbxu
835,prepare,VB,8xgbxu
836,talk,VBP,8xgbxu
837,lose,VB,8xgbxu
838,prepare,VB,8xgbxu
839,happens,VBZ,8xgbxu
840,learned,VBD,8xge65
841,reflects,VBZ,8xge65
842,having,VBG,8xge65
843,leaned,VBD,8xge65
844,written,VBN,8xge65
845,know,VBP,8xge65
846,stand,VBP,8xge65
847,thought,VBD,8xge65
848,disconnecting,VBG,8xge65
849,seen,VBN,8xge65
850,become,VBN,8xge65
851,happening,VBG,8xge65
852,felt,VBN,8xge65
853,trying,VBG,8xge65
854,undo,VB,8xge65
855,read,VBN,8xge65
856,wondering,VBG,8xge65
857,stood,VBN,8xge65
858,handle,VB,8xge65
859,prepare,VB,8xge65
860,talk,VBP,8xge65
861,lose,VB,8xge65
862,prepare,VB,8xge65
863,happens,VBZ,8xge65
864,learned,VBD,8xgejz
865,reflects,VBZ,8xgejz
866,having,VBG,8xgejz
867,leaned,VBD,8xgejz
868,written,VBN,8xgejz
869,know,VBP,8xgejz
870,stand,VBP,8xgejz
871,thought,VBD,8xgejz
872,disconnecting,VBG,8xgejz
873,seen,VBN,8xgejz
874,become,VBN,8xgejz
875,happening,VBG,8xgejz
876,felt,VBN,8xgejz
877,trying,VBG,8xgejz
878,undo,VB,8xgejz
879,read,VBN,8xgejz
880,wondering,VBG,8xgejz
881,stood,VBN,8xgejz
882,handle,VB,8xgejz
883,prepare,VB,8xgejz
884,talk,VBP,8xgejz
885,lose,VB,8xgejz
886,prepare,VB,8xgejz
887,happens,VBZ,8xgejz
888,learned,VBD,8xgeul
889,reflects,VBZ,8xgeul
890,having,VBG,8xgeul
891,leaned,VBD,8xgeul
892,written,VBN,8xgeul
893,know,VBP,8xgeul
894,stand,VBP,8xgeul
