,verbs,tense,postid
602,Losing,VBG,8wpoa3
603,would,MD,8wpoa3
604,hurt,VB,8wpoa3
605,destroy,VB,8wpoa3
606,trying,VBG,8wpoa3
607,trying,VBG,8wpoa3
608,monetize,VB,8wpoa3
609,make,VB,8wpoa3
610,could,MD,8wpoa3
611,undo,VB,8wpoa3
612,undo,VB,8wpoa3
613,Thank,VBP,8wpoa3
614,read,VBN,8wpoa3
615,read,VBN,8wpoa3
616,wondering,VBG,8wpoa3
617,wondering,VBG,8wpoa3
618,stood,VBN,8wpoa3
619,stood,VBN,8wpoa3
620,loose,VB,8wpoa3
621,talking,VBG,8wpoa3
622,handle,VB,8wpoa3
623,handle,VB,8wpoa3
624,can,MD,8wpoa3
625,prepare,VB,8wpoa3
626,prepare,VB,8wpoa3
627,get,VBP,8wpoa3
628,caught,VBN,8wpoa3
629,talk,VBP,8wpoa3
630,talk,VBP,8wpoa3
631,could,MD,8wpoa3
632,lose,VB,8wpoa3
633,lose,VB,8wpoa3
634,destroyed,VBN,8wpoa3
635,can,MD,8wpoa3
636,prepare,VB,8wpoa3
637,prepare,VB,8wpoa3
638,happens,VBZ,8wpoa3
639,happens,VBZ,8wpoa3
640,learned,VBD,8wqze5
641,learned,VBD,8wqze5
642,reflects,VBZ,8wqze5
643,reflects,VBZ,8wqze5
644,having,VBG,8wqze5
645,having,VBG,8wqze5
646,leaned,VBD,8wqze5
647,leaned,VBD,8wqze5
648,left,VBN,8wqze5
649,steeped,VBN,8wqze5
650,written,VBN,8wqze5
651,written,VBN,8wqze5
652,know,VBP,8wqze5
653,know,VBP,8wqze5
654,stand,VBP,8wqze5
655,stand,VBP,8wqze5
656,loose,VB,8wqze5
657,would,MD,8wqze5
658,thought,VBD,8wqze5
659,thought,VBD,8wqze5
660,including,VBG,8wqze5
661,disconnecting,VBG,8wqze5
662,disconnecting,VBG,8wqze5
663,trying,VBG,8wqze5
664,think,VB,8wqze5
665,evolve,VB,8wqze5
666,reflect,VB,8wqze5
667,seen,VBN,8wqze5
668,seen,VBN,8wqze5
669,become,VBN,8wqze5
670,become,VBN,8wqze5
671,become,VBN,8wqze5
672,TORN,VBN,8wqze5
673,falling,VBG,8wqze5
674,approved,VBN,8wqze5
675,Seeing,VBG,8wqze5
676,made,VBN,8wqze5
677,happening,VBG,8wqze5
678,happening,VBG,8wqze5
679,shifted,VBN,8wqze5
680,felt,VBN,8wqze5
681,felt,VBN,8wqze5
682,Losing,VBG,8wqze5
683,would,MD,8wqze5
684,hurt,VB,8wqze5
685,destroy,VB,8wqze5
686,trying,VBG,8wqze5
687,trying,VBG,8wqze5
688,monetize,VB,8wqze5
689,make,VB,8wqze5
690,could,MD,8wqze5
691,undo,VB,8wqze5
692,undo,VB,8wqze5
693,Thank,VBP,8wqze5
694,read,VBN,8wqze5
695,read,VBN,8wqze5
696,wondering,VBG,8wqze5
697,wondering,VBG,8wqze5
698,stood,VBN,8wqze5
699,stood,VBN,8wqze5
700,loose,VB,8wqze5
701,talking,VBG,8wqze5
702,handle,VB,8wqze5
703,handle,VB,8wqze5
704,can,MD,8wqze5
705,prepare,VB,8wqze5
706,prepare,VB,8wqze5
707,get,VBP,8wqze5
708,caught,VBN,8wqze5
709,talk,VBP,8wqze5
710,talk,VBP,8wqze5
711,could,MD,8wqze5
712,lose,VB,8wqze5
713,lose,VB,8wqze5
714,destroyed,VBN,8wqze5
715,can,MD,8wqze5
716,prepare,VB,8wqze5
717,prepare,VB,8wqze5
718,happens,VBZ,8wqze5
719,happens,VBZ,8wqze5
720,learned,VBD,8wvdxo
721,learned,VBD,8wvdxo
722,reflects,VBZ,8wvdxo
723,reflects,VBZ,8wvdxo
724,having,VBG,8wvdxo
725,having,VBG,8wvdxo
726,leaned,VBD,8wvdxo
727,leaned,VBD,8wvdxo
728,left,VBN,8wvdxo
729,steeped,VBN,8wvdxo
730,written,VBN,8wvdxo
731,written,VBN,8wvdxo
732,know,VBP,8wvdxo
733,know,VBP,8wvdxo
734,stand,VBP,8wvdxo
735,stand,VBP,8wvdxo
736,loose,VB,8wvdxo
737,would,MD,8wvdxo
738,thought,VBD,8wvdxo
739,thought,VBD,8wvdxo
740,including,VBG,8wvdxo
741,disconnecting,VBG,8wvdxo
742,disconnecting,VBG,8wvdxo
743,trying,VBG,8wvdxo
744,think,VB,8wvdxo
745,evolve,VB,8wvdxo
746,reflect,VB,8wvdxo
747,seen,VBN,8wvdxo
748,seen,VBN,8wvdxo
749,become,VBN,8wvdxo
750,become,VBN,8wvdxo
751,become,VBN,8wvdxo
752,TORN,VBN,8wvdxo
753,falling,VBG,8wvdxo
754,approved,VBN,8wvdxo
755,Seeing,VBG,8wvdxo
756,made,VBN,8wvdxo
757,happening,VBG,8wvdxo
758,happening,VBG,8wvdxo
759,shifted,VBN,8wvdxo
760,felt,VBN,8wvdxo
761,felt,VBN,8wvdxo
762,Losing,VBG,8wvdxo
763,would,MD,8wvdxo
764,hurt,VB,8wvdxo
765,destroy,VB,8wvdxo
766,trying,VBG,8wvdxo
767,trying,VBG,8wvdxo
768,monetize,VB,8wvdxo
769,make,VB,8wvdxo
770,could,MD,8wvdxo
771,undo,VB,8wvdxo
772,undo,VB,8wvdxo
773,Thank,VBP,8wvdxo
774,read,VBN,8wvdxo
775,read,VBN,8wvdxo
776,wondering,VBG,8wvdxo
777,wondering,VBG,8wvdxo
778,stood,VBN,8wvdxo
779,stood,VBN,8wvdxo
780,loose,VB,8wvdxo
781,talking,VBG,8wvdxo
782,handle,VB,8wvdxo
783,handle,VB,8wvdxo
784,can,MD,8wvdxo
785,prepare,VB,8wvdxo
786,prepare,VB,8wvdxo
787,get,VBP,8wvdxo
788,caught,VBN,8wvdxo
789,talk,VBP,8wvdxo
790,talk,VBP,8wvdxo
791,could,MD,8wvdxo
792,lose,VB,8wvdxo
793,lose,VB,8wvdxo
794,destroyed,VBN,8wvdxo
795,can,MD,8wvdxo
796,prepare,VB,8wvdxo
797,prepare,VB,8wvdxo
798,happens,VBZ,8wvdxo
799,happens,VBZ,8wvdxo
800,learned,VBD,8wvl7y
801,learned,VBD,8wvl7y
802,reflects,VBZ,8wvl7y
803,reflects,VBZ,8wvl7y
804,having,VBG,8wvl7y
805,having,VBG,8wvl7y
806,leaned,VBD,8wvl7y
807,leaned,VBD,8wvl7y
808,left,VBN,8wvl7y
809,steeped,VBN,8wvl7y
810,written,VBN,8wvl7y
811,written,VBN,8wvl7y
812,know,VBP,8wvl7y
813,know,VBP,8wvl7y
814,stand,VBP,8wvl7y
815,stand,VBP,8wvl7y
816,loose,VB,8wvl7y
817,would,MD,8wvl7y
818,thought,VBD,8wvl7y
819,thought,VBD,8wvl7y
820,including,VBG,8wvl7y
821,disconnecting,VBG,8wvl7y
822,disconnecting,VBG,8wvl7y
823,trying,VBG,8wvl7y
824,think,VB,8wvl7y
825,evolve,VB,8wvl7y
826,reflect,VB,8wvl7y
827,seen,VBN,8wvl7y
828,seen,VBN,8wvl7y
829,become,VBN,8wvl7y
830,become,VBN,8wvl7y
831,become,VBN,8wvl7y
832,TORN,VBN,8wvl7y
833,falling,VBG,8wvl7y
834,approved,VBN,8wvl7y
835,Seeing,VBG,8wvl7y
836,made,VBN,8wvl7y
837,happening,VBG,8wvl7y
838,happening,VBG,8wvl7y
839,shifted,VBN,8wvl7y
840,felt,VBN,8wvl7y
841,felt,VBN,8wvl7y
842,Losing,VBG,8wvl7y
843,would,MD,8wvl7y
844,hurt,VB,8wvl7y
845,destroy,VB,8wvl7y
846,trying,VBG,8wvl7y
847,trying,VBG,8wvl7y
848,monetize,VB,8wvl7y
849,make,VB,8wvl7y
850,could,MD,8wvl7y
851,undo,VB,8wvl7y
852,undo,VB,8wvl7y
853,Thank,VBP,8wvl7y
854,read,VBN,8wvl7y
855,read,VBN,8wvl7y
856,wondering,VBG,8wvl7y
857,wondering,VBG,8wvl7y
858,stood,VBN,8wvl7y
859,stood,VBN,8wvl7y
860,loose,VB,8wvl7y
861,talking,VBG,8wvl7y
862,handle,VB,8wvl7y
863,handle,VB,8wvl7y
864,can,MD,8wvl7y
865,prepare,VB,8wvl7y
866,prepare,VB,8wvl7y
867,get,VBP,8wvl7y
868,caught,VBN,8wvl7y
869,talk,VBP,8wvl7y
870,talk,VBP,8wvl7y
871,could,MD,8wvl7y
872,lose,VB,8wvl7y
873,lose,VB,8wvl7y
874,destroyed,VBN,8wvl7y
875,can,MD,8wvl7y
876,prepare,VB,8wvl7y
877,prepare,VB,8wvl7y
878,happens,VBZ,8wvl7y
879,happens,VBZ,8wvl7y
880,learned,VBD,8wvx68
881,learned,VBD,8wvx68
882,reflects,VBZ,8wvx68
883,reflects,VBZ,8wvx68
884,having,VBG,8wvx68
885,having,VBG,8wvx68
886,leaned,VBD,8wvx68
887,leaned,VBD,8wvx68
888,left,VBN,8wvx68
889,steeped,VBN,8wvx68
890,written,VBN,8wvx68
891,written,VBN,8wvx68
892,know,VBP,8wvx68
893,know,VBP,8wvx68
894,stand,VBP,8wvx68
895,stand,VBP,8wvx68
896,loose,VB,8wvx68
897,would,MD,8wvx68
898,thought,VBD,8wvx68
